bl,Smite 2 Username,Vetted Division,Smite 2 Tracker.gg Link,Discord Username,What was your placement in BSL season 1?,What division do you think you should be placed in?,What is your main Role,What is your secondary Role (If you have one),Are you interested in being a captain?,Availability [Mondays],Availability [Tuesdays],Availability [Wednesdays],Availability [Thursdays],Availability [Fridays],Availability [Saturdays],Availability [Sundays],BSL is a Saturday League;  Do you acknowledge that default will be on Saturday and that you have to the best of your understanding the day available to play? 
12/1/2025 8:50:33,TwistedTangents,Drafted Players,https://tracker.gg/smite2/profile/epic/TwistedTangents/overview?gamemode=conquest-ranked&season=3,MyTwistedF8,Ishtar,Tiamat,Jungle,ADC,No,No,No,No,No,Yes,Yes,Yes,available
12/4/2025 6:05:59,Underclass hero,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199075563905/overview?gamemode=conquest-ranked&season=3,Undeclaas hero,Ishtar,Ishtar,Jungle,Mid,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/8/2025 9:38:57,Vénatus,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198084460263/overview?gamemode=conquest-ranked&season=3,Venatus_,Didn't Play,Enkidu,Jungle,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/9/2025 20:35:40,Way2Tiny,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199000547730/overview?gamemode=conquest-ranked&season=3,Way2Tiny,Didn't Play,Ishtar,Jungle,Solo,Yes,No,No,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 19:44:44,Worm000897,Drafted Players,https://tracker.gg/smite2/profile/psn/Worm000897/overview?gamemode=conquest-ranked&season=3,Worm000897,Didn't Play,Enkidu,Jungle,Solo,Yes,No,No,No,Yes,Yes,Yes,No,available
12/8/2025 21:09:54,Xensa,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198233215836/overview?gamemode=conquest-ranked&season=3,Vuranium,Didn't Play,Tiamat,Jungle,Mid,No,No,No,No,No,Yes,Yes,Yes,available
12/1/2025 9:32:40,Zundel ,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198198733761/gods?gamemode=conquest-ranked&season=3,Th3gawd,Didn't Play,Tiamat,Jungle,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 10:14:15,Zxnithhhh,Drafted Players,https://tracker.gg/smite2/profile/xbl/Zxnithhhh/overview?gamemode=conquest-ranked&season=3,Zxnithhhh,Didn't Play,Ishtar,Jungle,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 11:57:45,A1rh3ad24,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198080769923/overview?gamemode=conquest-ranked,strangelya1r,Didn't Play,Tiamat,Mid,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/8/2025 9:44:20,Abductz,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198100333959/overview?gamemode=conquest-ranked&season=3,Abductz,Didn't Play,Tiamat,Mid,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:22:21,adora,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198311079572/overview?gamemode=conquest-ranked,adorabora,Didn't Play,Ishtar,Mid,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/4/2025 18:01:24,AlphaSpeeder,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198174359659/overview?gamemode=conquest-ranked&season=3,alphaspeed3r,Gilgamesh,Ishtar,Mid,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,available
12/6/2025 14:32:21,AreYouEven,Drafted Players,https://tracker.gg/smite2/profile/epic/AreYouEven/overview?gamemode=conquest-ranked&season=3,nicholas0722,Didn't Play,,Mid,Fill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:18:13,Awesomeluke2222,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198397820103/overview?gamemode=conquest-ranked&season=3,Awesomeluke22,Didn't Play,Gilgamesh,Mid,ADC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/4/2025 15:53:57,Bacon,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198411375287/overview?gamemode=conquest-ranked&season=3,Baconslm,Didn't Play,Tiamat,Mid,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 8:12:51,Bendizzle13,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199064916897/overview?gamemode=conquest-ranked&season=3,Bendizzle13,Gilgamesh,Enkidu,Mid,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/9/2025 6:59:38,BigBlackBanan69,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199442983300/overview?gamemode=conquest-ranked&season=3,Poppin certified ,Didn't Play,Enkidu,Mid,Mid,No,Yes,Yes,Yes,Yes,Yes,No,Yes,not available
12/6/2025 17:28:13,Bjartskullar,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199349046882/overview?gamemode=conquest&season=3,Sigma Male Wincon,Didn't Play,Enkidu,Mid,Fill,No,Yes,Yes,Yes,No,Yes,No,No,not available
12/2/2025 13:32:18,BLUEGOOMBAFU,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198352358890/overview?gamemode=conquest-ranked&season=3,bluestar021,Didn't Play,Enkidu,Mid,Jungle,Yes,No,Yes,No,No,No,Yes,No,available
12/1/2025 8:51:50,Blurry,Drafted Players,tracker.gg/blurry,Reaper1834,Ishtar,Ishtar,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 10:27:19,Bongwatta,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198093139812/gods?gamemode=conquest-ranked&season=3,Bongwater,Didn't Play,,Mid,ADC,No,Yes,No,No,No,No,Yes,No,available
12/4/2025 8:04:18,Brudih,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198065123360/overview?gamemode=conquest,brudif,Ishtar,Gilgamesh,Mid,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 18:31:29,C0dillac,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198035629425/overview?gamemode=conquest-ranked&season=3,codillac,Gilgamesh,Gilgamesh,Mid,Support,No,No,No,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:25:15,CaptainCareBear,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198116336118/overview?gamemode=conquest-ranked&season=3,captaincarebear,Didn't Play,Enkidu,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/7/2025 4:58:03,Chasbo,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199681399899/overview?gamemode=conquest-ranked&season=3,Chasbo,Didn't Play,Ishtar,Mid,Mid,No,No,No,No,No,No,No,No,available
12/1/2025 14:40:58,DabLlama,Drafted Players,https://tracker.gg/smite2/profile/psn/DabLlama/overview?gamemode=conquest-ranked&season=3,llama._,Gilgamesh,Gilgamesh,Mid,Solo,No,No,No,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 8:48:51,Dbz-Spartan,Drafted Players,https://tracker.gg/smite2/profile/psn/DBZ-Spartan/overview?gamemode=conquest-ranked&season=3,Dbzspartan,Didn't Play,Enkidu,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 12:57:25,Deceptionfusion,Drafted Players,Idk what this is,Riley,Didn't Play,Gilgamesh,Mid,Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:59:46,DecidingArc11,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198056148222/overview?gamemode=conquest-ranked&season=3,decidingarc11,Gilgamesh,Gilgamesh,Mid,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:31:40,Denny,Drafted Players,https://tracker.gg/smite2/profile/epic/GSDenny/overview?gamemode=conquest-ranked&season=3,gsdenny,Ishtar,Ishtar,Mid,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/8/2025 20:43:34,Drowsy,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198179914974/overview?gamemode=conquest-ranked&season=3,drowsy2193,Didn't Play,Gilgamesh,Mid,Jungle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/6/2025 14:52:20,Duckie,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198985481207/overview?gamemode=conquest-ranked&season=3,Duckie,Ishtar,Ishtar,Mid,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/10/2025 11:25:17,Ducksworthy,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198152672464/overview?gamemode=conquest-ranked&season=3,ducksworthy,Didn't Play,,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/8/2025 16:04:47,Elegy,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198324314554/overview?gamemode=conquest-ranked&season=3,anelegy,Didn't Play,Enkidu,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 14:58:15,Ēthereal,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198288744729/overview?gamemode=conquest-ranked&season=3,imethereal,Didn't Play,Enkidu,Mid,Solo,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/4/2025 4:50:23,eZeuz,Drafted Players,eZeuz,eZeuz,Gilgamesh,Gilgamesh,Mid,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
